gene,gene_name,chromosome,description,entrez_id,LPS_vs_PBS_IP.l2fc,LPS_vs_PBS_IP.padj,IP_LPS_avg_fpkm,IP_PBS_avg_fpkm
ENSMUSG00000026822,Lcn2,2,lipocalin 2 [Source:MGI Symbol;Acc:MGI:96757],16819,9.90623202,0,3517.473781,2.6763947
ENSMUSG00000038067,Csf3,11,colony stimulating factor 3 (granulocyte) [Source:MGI Symbol;Acc:MGI:1339751],12985,7.986415212,9.16E-120,42.44829941,0.010421698
ENSMUSG00000026580,Selp,1,"selectin, platelet [Source:MGI Symbol;Acc:MGI:98280]",20344,6.65714844,1.10E-174,35.19780163,0.252669768
ENSMUSG00000074115,Saa1,7,serum amyloid A 1 [Source:MGI Symbol;Acc:MGI:98221],20208,6.048464826,2.41E-51,5.893986568,0
ENSMUSG00000029417,Cxcl9,5,chemokine (C-X-C motif) ligand 9 [Source:MGI Symbol;Acc:MGI:1352449],17329,5.561550613,6.02E-42,4.585790668,0.005097217
ENSMUSG00000012428,Steap4,5,STEAP family member 4 [Source:MGI Symbol;Acc:MGI:1923560],117167,5.146337795,2.42E-51,58.82201264,0.810797184
ENSMUSG00000037872,Ackr1,1,atypical chemokine receptor 1 (Duffy blood group) [Source:MGI Symbol;Acc:MGI:1097689],13349,5.117412829,4.32E-63,323.2339232,6.005678012
ENSMUSG00000021091,Serpina3n,12,"serine (or cysteine) peptidase inhibitor, clade A, member 3N [Source:MGI Symbol;Acc:MGI:105045]",20716,4.921650636,3.62E-29,127.6087718,0.76945356
ENSMUSG00000035042,Ccl5,11,chemokine (C-C motif) ligand 5 [Source:MGI Symbol;Acc:MGI:98262],20304,4.70021568,1.15E-27,8.126960951,0.0220447
ENSMUSG00000079014,Serpina3i,12,"serine (or cysteine) peptidase inhibitor, clade A, member 3I [Source:MGI Symbol;Acc:MGI:2182841]",628900,4.694701348,3.40E-28,2.772789557,0.012932259
ENSMUSG00000033213,AA467197,2,expressed sequence AA467197 [Source:MGI Symbol;Acc:MGI:3034182],433470,4.647932699,4.84E-26,6.680231779,0
ENSMUSG00000030069,Prok2,6,prokineticin 2 [Source:MGI Symbol;Acc:MGI:1354178],50501,4.632610051,1.02E-26,5.226233192,0.019621359
ENSMUSG00000050370,Ch25h,19,cholesterol 25-hydroxylase [Source:MGI Symbol;Acc:MGI:1333869],12642,4.629838113,6.24E-112,120.5072286,4.298685569
ENSMUSG00000001131,Timp1,X,tissue inhibitor of metalloproteinase 1 [Source:MGI Symbol;Acc:MGI:98752],21857,4.398001729,9.66E-76,87.51055515,3.185051947
ENSMUSG00000022218,Tgm1,14,"transglutaminase 1, K polypeptide [Source:MGI Symbol;Acc:MGI:98730]",21816,4.367030685,1.03E-23,1.704052619,0.009044501
ENSMUSG00000066363,Serpina3f,12,"serine (or cysteine) peptidase inhibitor, clade A, member 3F [Source:MGI Symbol;Acc:MGI:2182838]",238393,4.276160014,1.70E-19,54.12945861,0.156187241
ENSMUSG00000029380,Cxcl1,5,chemokine (C-X-C motif) ligand 1 [Source:MGI Symbol;Acc:MGI:108068],14825,4.214243464,3.28E-21,32.90812859,0.436402977
ENSMUSG00000022126,Acod1,14,aconitate decarboxylase 1 [Source:MGI Symbol;Acc:MGI:103206],16365,4.129783012,4.14E-19,1.514523755,0
ENSMUSG00000042244,Pglyrp3,3,peptidoglycan recognition protein 3 [Source:MGI Symbol;Acc:MGI:2685266],242100,4.109118885,4.61E-19,3.181395975,0
ENSMUSG00000028989,Angptl7,4,angiopoietin-like 7 [Source:MGI Symbol;Acc:MGI:3605801],654812,4.048259419,5.99E-33,67.94335034,2.532123017
ENSMUSG00000030022,Adamts9,6,"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 9 [Source:MGI Symbol;Acc:MGI:1916320]",101401,4.04403283,3.29E-103,90.02272758,4.915172775
ENSMUSG00000058427,Cxcl2,5,chemokine (C-X-C motif) ligand 2 [Source:MGI Symbol;Acc:MGI:1340094],20310,4.040325961,5.83E-18,1.903588347,0
ENSMUSG00000046805,Mpeg1,19,macrophage expressed gene 1 [Source:MGI Symbol;Acc:MGI:1333743],17476,3.957708351,3.18E-162,31.54362346,1.963125991
ENSMUSG00000028862,Map3k6,4,mitogen-activated protein kinase kinase kinase 6 [Source:MGI Symbol;Acc:MGI:1855691],53608,3.946777783,1.78E-26,60.27572053,2.114097943
ENSMUSG00000016524,Il19,1,interleukin 19 [Source:MGI Symbol;Acc:MGI:1890472],329244,3.892977051,1.10E-16,3.363471447,0
ENSMUSG00000051439,Cd14,18,CD14 antigen [Source:MGI Symbol;Acc:MGI:88318],12475,3.75669554,1.27E-22,27.36274155,1.100640845
ENSMUSG00000046223,Plaur,7,"plasminogen activator, urokinase receptor [Source:MGI Symbol;Acc:MGI:97612]",18793,3.728629716,1.70E-19,78.44133013,2.568209072
ENSMUSG00000024912,Fosl1,19,fos-like antigen 1 [Source:MGI Symbol;Acc:MGI:107179],14283,3.727814898,9.98E-15,7.15947216,0.047400835
ENSMUSG00000009772,Nuak2,1,"NUAK family, SNF1-like kinase, 2 [Source:MGI Symbol;Acc:MGI:1921387]",74137,3.697791779,2.58E-35,7.890880182,0.452697205
ENSMUSG00000022346,Myc,15,myelocytomatosis oncogene [Source:MGI Symbol;Acc:MGI:97250],17869,3.682081668,2.63E-37,10.2259618,0.622836909
ENSMUSG00000020901,Pik3r5,11,phosphoinositide-3-kinase regulatory subunit 5 [Source:MGI Symbol;Acc:MGI:2443588],320207,3.669071862,7.40E-59,16.36442147,1.101832775
ENSMUSG00000006403,Adamts4,1,"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 4 [Source:MGI Symbol;Acc:MGI:1339949]",240913,3.627325348,1.72E-75,18.77513763,1.404007434
ENSMUSG00000073489,Ifi204,1,interferon activated gene 204 [Source:MGI Symbol;Acc:MGI:96429],15951,3.605756389,1.63E-19,2.785855559,0.107930155
ENSMUSG00000029371,Cxcl5,5,chemokine (C-X-C motif) ligand 5 [Source:MGI Symbol;Acc:MGI:1096868],20311,3.605613925,3.05E-14,1.606900082,0.00790438
ENSMUSG00000073490,Ifi207,1,interferon activated gene 207 [Source:MGI Symbol;Acc:MGI:2138302],226691,3.589880405,9.08E-16,1.084389398,0.024118097
ENSMUSG00000032776,Mctp2,7,"multiple C2 domains, transmembrane 2 [Source:MGI Symbol;Acc:MGI:2685335]",244049,3.587641593,6.54E-45,5.028375776,0.346208898
ENSMUSG00000063851,Rnf183,4,ring finger protein 183 [Source:MGI Symbol;Acc:MGI:1923322],76072,3.576540728,1.59E-13,2.134723852,0
ENSMUSG00000027514,Zbp1,2,Z-DNA binding protein 1 [Source:MGI Symbol;Acc:MGI:1927449],58203,3.56372858,1.85E-90,23.99227618,1.938219702
ENSMUSG00000001473,Tubb6,18,"tubulin, beta 6 class V [Source:MGI Symbol;Acc:MGI:1915201]",67951,3.523968912,1.44E-24,83.07579134,4.805508922
ENSMUSG00000035385,Ccl2,11,chemokine (C-C motif) ligand 2 [Source:MGI Symbol;Acc:MGI:98259],20296,3.496262112,8.96E-20,6.747995593,0.329299829
ENSMUSG00000037095,Lrg1,17,leucine-rich alpha-2-glycoprotein 1 [Source:MGI Symbol;Acc:MGI:1924155],76905,3.468140757,4.92E-16,99.38521003,4.089859699
ENSMUSG00000002847,Pla1a,16,phospholipase A1 member A [Source:MGI Symbol;Acc:MGI:1934677],85031,3.408996943,1.91E-16,60.10025423,2.775789039
ENSMUSG00000079012,Serpina3m,12,"serine (or cysteine) peptidase inhibitor, clade A, member 3M [Source:MGI Symbol;Acc:MGI:98378]",20717,3.398472795,3.37E-12,1.373706963,0
ENSMUSG00000026582,Sele,1,"selectin, endothelial cell [Source:MGI Symbol;Acc:MGI:98278]",20339,3.385473123,3.39E-12,20.97874657,0.32345511
ENSMUSG00000044258,Ctla2a,13,cytotoxic T lymphocyte-associated protein 2 alpha [Source:MGI Symbol;Acc:MGI:88554],13024,3.343224821,6.38E-19,159.3232419,8.959812492
ENSMUSG00000032487,Ptgs2,1,prostaglandin-endoperoxide synthase 2 [Source:MGI Symbol;Acc:MGI:97798],19225,3.32664948,2.78E-118,76.73075632,7.608380596
ENSMUSG00000025176,Hoga1,19,4-hydroxy-2-oxoglutarate aldolase 1 [Source:MGI Symbol;Acc:MGI:1914682],67432,3.242329492,1.68E-21,9.087290427,0.615587179
ENSMUSG00000041449,Serpina3h,12,"serine (or cysteine) peptidase inhibitor, clade A, member 3H [Source:MGI Symbol;Acc:MGI:2182839]",,3.212333233,9.12E-11,1.658100628,0
ENSMUSG00000029082,Bst1,5,bone marrow stromal cell antigen 1 [Source:MGI Symbol;Acc:MGI:105370],12182,3.210990284,1.91E-25,6.762718731,0.560936448
ENSMUSG00000023067,Cdkn1a,17,cyclin-dependent kinase inhibitor 1A (P21) [Source:MGI Symbol;Acc:MGI:104556],12575,3.194115085,2.03E-63,106.5983826,10.61293435
ENSMUSG00000064246,Chil1,1,chitinase-like 1 [Source:MGI Symbol;Acc:MGI:1340899],12654,3.182375567,1.87E-17,6.643519107,0.446327121
ENSMUSG00000022893,Adamts1,16,"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 1 [Source:MGI Symbol;Acc:MGI:109249]",11504,3.145406618,1.09E-27,310.7279192,28.52920956
