Human.Gene,Uniprot ID,Protein Name,Protein Description,Bulk_avg_abundance,Vessel_avg_abundance,Differentially expressed?,logFC (Vessel vs. Bulk),P.Value (Vessel vs. Bulk),adj.P.Value (Vessel vs. Bulk)
CLDN5,O00501,CLD5_HUMAN,Claudin-5,273610.3447,44081344.52,Vessel enriched,7.32,1.99786E-09,0.000000221
AOC3,Q16853,AOC3_HUMAN,Membrane primary amine oxidase,1157676.699,141149219,Vessel enriched,6.49,1.68129E-06,0.0995
ANXA2,P07355,ANXA2_HUMAN,Annexin A2,4339742.722,402037493.9,Vessel enriched,6.46,9.92802E-08,0.00784
SLC2A1,P11166,GTR1_HUMAN,"Solute carrier family 2, facilitated glucose transporter member 1",9258443.765,877157488.3,Vessel enriched,6.44,3.34848E-09,0.0000254
CAV1,Q03135,CAV1_HUMAN,Caveolin-1,541558.1505,35672295.65,Vessel enriched,6.03,4.45156E-08,0.00374
GGT5,P36269,GGT5_HUMAN,Glutathione hydrolase 5 proenzyme,2415677.207,136918584.6,Vessel enriched,5.85,3.58162E-09,0.0000273
ITGA1,P56199,ITA1_HUMAN,Integrin alpha-1,1679195.007,104100742.1,Vessel enriched,5.79,1.18665E-08,0.000399
ABCB1,P08183,MDR1_HUMAN,ATP-dependent translocase ABCB1,1733801.501,103488473.4,Vessel enriched,5.79,6.07747E-08,0.00499
S100A10,P60903,S10AA_HUMAN,Protein S100-A10,407270.9197,21039420.49,Vessel enriched,5.78,3.78931E-07,0.0157
VIM,P08670,VIME_HUMAN,Vimentin,18685297.28,1228754794,Vessel enriched,5.75,2.39434E-07,0.0206
ALPL,P05186,PPBT_HUMAN,"Alkaline phosphatase, tissue-nonspecific isozyme",617593.7243,32369625.63,Vessel enriched,5.68,8.0766E-08,0.00599
ABCG2,Q9UNQ0,ABCG2_HUMAN,Broad substrate specificity ATP-binding cassette transporter ABCG2,1256459.042,72355831.62,Vessel enriched,5.64,6.06141E-08,0.00498
SLC6A13,Q9NSD5,S6A13_HUMAN,Sodium- and chloride-dependent GABA transporter 2,271503.386,13930811.27,Vessel enriched,5.54,4.89865E-07,0.0202
PODXL,O00592,PODXL_HUMAN,Podocalyxin,2175969.76,85818410.78,Vessel enriched,5.31,1.28008E-08,0.000444
GIMAP1,Q8WWP7,GIMA1_HUMAN,GTPase IMAP family member 1,970258.1707,43071818.96,Vessel enriched,5.25,4.98347E-06,0.163
F11R,Q9Y624,JAM1_HUMAN,Junctional adhesion molecule A,2107024.085,85349509.61,Vessel enriched,5.19,6.47475E-08,0.00523
ITGB1,P05556,ITB1_HUMAN,Integrin beta-1,8196587.89,289141873.7,Vessel enriched,5.19,7.33471E-08,0.00567
ANPEP,P15144,AMPN_HUMAN,Aminopeptidase N,612789.6735,26668001.57,Vessel enriched,5.18,3.32368E-07,0.0271
CAVIN3,Q969G5,CAVN3_HUMAN,Caveolae-associated protein 3,411652.6095,16967067.35,Vessel enriched,5.17,3.61547E-05,0.226
CD34,P28906,CD34_HUMAN,Hematopoietic progenitor cell antigen CD34,373860.3657,14427888.7,Vessel enriched,5.04,2.31422E-07,0.02
BRD1,O95696,BRD1_HUMAN,Bromodomain-containing protein 1,18524.22375,937524.4074,Vessel enriched,5.04,0.003220708,0.599
COL18A1,P39060,COIA1_HUMAN,Collagen alpha-1(XVIII) chain,2150991.646,76918742.49,Vessel enriched,5.02,7.59414E-08,0.00579
SQOR,Q9Y6N5,SQOR_HUMAN,"Sulfide:quinone oxidoreductase, mitochondrial",1481033.316,51105115.2,Vessel enriched,5.01,5.43797E-08,0.00455
SLC6A12,P48065,S6A12_HUMAN,Sodium- and chloride-dependent betaine transporter,2130698.795,61924315.75,Vessel enriched,4.98,6.02606E-07,0.0502
COL1A1,P02452,CO1A1_HUMAN,Collagen alpha-1(I) chain,197208.2238,27133468.67,Vessel enriched,4.97,0.000876043,0.528
