Mouse.Gene,Human.Gene,Uniprot ID,Protein Name,Protein description,LPS avg abundance,PBS avg abundance,Differentially Expressed?,logFC (LPS_vs_PBS),P.Value (LPS_vs_PBS),adj.P.Value (LPS_vs_PBS)
Aaas,AAAS,P58742,AAAS_MOUSE,Aladin,6812,5949,No,0.21,0.468907,0.999933
Aak1,AAK1,Q3UHJ0,AAK1_MOUSE,AP2-associated protein kinase 1,36543,34963,No,0.06,0.775064,0.999933
Aatk,AATK,Q80YE4,LMTK1_MOUSE,Serine/threonine-protein kinase LMTK1,15356,16705,No,-0.05,0.883955,0.999933
Abat,ABAT,P61922,GABT_MOUSE,"4-aminobutyrate aminotransferase, mitochondrial",12235,16557,No,-0.43,0.246398,0.999933
Abca1,ABCA1,P41233,ABCA1_MOUSE,Phospholipid-transporting ATPase ABCA1,14918,13604,No,0.14,0.529372,0.999933
Abca5,ABCA5,Q8K448,ABCA5_MOUSE,Cholesterol transporter ABCA5,9832,11349,No,-0.21,0.382107,0.999933
Abca7,ABCA7,Q91V24,ABCA7_MOUSE,ATP-binding cassette sub-family A member 7,10446,13568,No,-0.31,0.302772,0.999933
Abca9,ABCA9,Q8K449,ABCA9_MOUSE,ATP-binding cassette sub-family A member 9,5836,6094,No,-0.06,0.877653,0.999933
Abcb10,ABCB10,Q9JI39,ABCBA_MOUSE,"ATP-binding cassette sub-family B member 10, mitochondrial",12781,11957,No,0.12,0.595699,0.999933
Abcb11,ABCB11,Q9QY30,ABCBB_MOUSE,Bile salt export pump,28095,53391,No,-0.60,0.340007,0.999933
Abcb1a,ABCB1,P21447,MDR1A_MOUSE,ATP-dependent translocase ABCB1,42044,44189,No,-0.06,0.808823,0.999933
Abcb6,ABCB6,Q9DC29,ABCB6_MOUSE,ATP-binding cassette sub-family B member 6,55698,62306,No,0.06,0.884631,0.999933
Abcb7,ABCB7,Q61102,ABCB7_MOUSE,"Iron-sulfur clusters transporter ABCB7, mitochondrial",50085,51765,No,-0.06,0.789176,0.999933
Abcb8,ABCB8,Q9CXJ4,MITOS_MOUSE,Mitochondrial potassium channel ATP-binding subunit,50819,46034,No,0.12,0.606426,0.999933
Abcb9,ABCB9,Q9JJ59,ABCB9_MOUSE,ABC-type oligopeptide transporter ABCB9,17279,16245,No,0.07,0.791028,0.999933
Abcc4,ABCC4,E9Q236,MRP4_MOUSE,ATP-binding cassette sub-family C member 4,6302,7387,No,-0.21,0.421543,0.999933
Abcd2,ABCD2,Q61285,ABCD2_MOUSE,ATP-binding cassette sub-family D member 2,22318,20097,No,0.15,0.458232,0.999933
Abcd3,ABCD3,P55096,ABCD3_MOUSE,ATP-binding cassette sub-family D member 3,41526,34630,No,0.28,0.207755,0.999933
Abce1,ABCE1,P61222,ABCE1_MOUSE,ATP-binding cassette sub-family E member 1,6320,8243,No,-0.38,0.135841,0.999933
Abcg1,ABCG1,Q64343,ABCG1_MOUSE,ATP-binding cassette sub-family G member 1,11341,12907,No,-0.15,0.587351,0.999933
Abcg2,ABCG2,Q7TMS5,ABCG2_MOUSE,Broad substrate specificity ATP-binding cassette transporter ABCG2,43910,38803,No,0.17,0.427717,0.999933
Abhd12,ABHD12,Q99LR1,ABD12_MOUSE,Lysophosphatidylserine lipase ABHD12,23383,21567,No,0.10,0.731395,0.999933
Abhd16a,ABHD16A,Q9Z1Q2,ABHGA_MOUSE,Phosphatidylserine lipase ABHD16A,48134,43803,No,0.16,0.562331,0.999933
Abhd3,ABHD3,Q91ZH7,ABHD3_MOUSE,Phospholipase ABHD3,11074,8850,No,0.29,0.310692,0.999933
Abhd6,ABHD6,Q8R2Y0,ABHD6_MOUSE,Monoacylglycerol lipase ABHD6,21503,20952,No,0.02,0.927659,0.999933
Abi1,ABI1,Q8CBW3,ABI1_MOUSE,Abl interactor 1,15815,13465,No,0.24,0.252888,0.999933
Abi2,ABI2,P62484,ABI2_MOUSE,Abl interactor 2,6056,6349,No,-0.07,0.815235,0.999933
Abl2,ABL2,Q4JIM5,ABL2_MOUSE,Tyrosine-protein kinase ABL2,5601,5638,No,0.01,0.971633,0.999933
Ablim1,ABLIM1,Q8K4G5,ABLM1_MOUSE,Actin-binding LIM protein 1,17584,16553,No,0.11,0.677114,0.999933
Ablim2,ABLIM2,Q8BL65,ABLM2_MOUSE,Actin-binding LIM protein 2,42561,42019,No,0.02,0.950928,0.999933
Abr,ABR,Q5SSL4,ABR_MOUSE,Active breakpoint cluster region-related protein,32605,31347,No,0.09,0.691160,0.999933
Acaa2,ACAA2,Q8BWT1,THIM_MOUSE,"3-ketoacyl-CoA thiolase, mitochondrial",14409,17144,No,-0.22,0.388956,0.999933
Acaca,ACACA,Q5SWU9,ACACA_MOUSE,Acetyl-CoA carboxylase 1,11663,11234,No,0.06,0.782907,0.999933
Acacb,ACACB,E9Q4Z2,ACACB_MOUSE,Acetyl-CoA carboxylase 2,3707,4143,No,-0.19,0.572166,0.999933
Acad8,ACAD8,Q9D7B6,ACAD8_MOUSE,"Isobutyryl-CoA dehydrogenase, mitochondrial",17810,15048,No,0.27,0.289287,0.999933
Acad9,ACAD9,Q8JZN5,ACAD9_MOUSE,"Complex I assembly factor ACAD9, mitochondrial",15789,13539,No,0.21,0.485841,0.999933
Acadl,ACADL,P51174,ACADL_MOUSE,"Long-chain specific acyl-CoA dehydrogenase, mitochondrial",31966,26986,No,0.30,0.310874,0.999933
Acadm,ACADM,P45952,ACADM_MOUSE,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial",10139,8775,No,0.41,0.344362,0.999933
Acadsb,ACADSB,Q9DBL1,ACDSB_MOUSE,"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial",14402,12719,No,0.27,0.357897,0.999933
Acadvl,ACADVL,P50544,ACADV_MOUSE,"Very long-chain specific acyl-CoA dehydrogenase, mitochondrial",6376,6914,No,-0.10,0.677003,0.999933
Acan,ACAN,Q61282,PGCA_MOUSE,Aggrecan core protein,5444,6045,No,-0.11,0.774530,0.999933
Acat1,ACAT1,Q8QZT1,THIL_MOUSE,"Acetyl-CoA acetyltransferase, mitochondrial",43410,43487,No,0.02,0.935847,0.999933
Acbd5,ACBD5,Q5XG73,ACBD5_MOUSE,Acyl-CoA-binding domain-containing protein 5,42694,36419,No,0.19,0.606807,0.999933
Ache,ACHE,P21836,ACES_MOUSE,Acetylcholinesterase,13973,13861,No,0.04,0.892259,0.999933
Ackr1,ACKR1,Q9QUI6,ACKR1_MOUSE,Atypical chemokine receptor 1,22123,12066,No,0.61,0.324526,0.999933
Acly,ACLY,Q91V92,ACLY_MOUSE,ATP-citrate synthase,25641,22935,No,0.17,0.572617,0.999933
Aco1,ACO1,P28271,ACOC_MOUSE,Cytoplasmic aconitate hydratase,6581,7829,No,-0.16,0.666552,0.999933
Aco2,ACO2,Q99KI0,ACON_MOUSE,"Aconitate hydratase, mitochondrial",87853,99423,No,-0.09,0.751970,0.999933
Acot1,NA,O55137,ACOT1_MOUSE,Acyl-coenzyme A thioesterase 1,12413,11400,No,0.14,0.539314,0.999933
Acot11,ACOT11,Q8VHQ9,ACO11_MOUSE,Acyl-coenzyme A thioesterase 11,16019,14812,No,0.20,0.560381,0.999933
Acot13,ACOT13,Q9CQR4,ACO13_MOUSE,Acyl-coenzyme A thioesterase 13,20587,22876,No,-0.15,0.541926,0.999933
