Mouse.Gene,Human.Gene,Uniprot ID,Protein Name,Protein Description,TurboID avg abundance,tdT avg abundance,Differentially Expressed?,logFC (TurboID vs. tdT),P.Value (TurboID vs. tdT),adj.P.Value (TurboID vs. tdT)
Pappa,PAPPA,Q8R4K8,PAPP1_MOUSE,Pappalysin-1,29548,NA,TurboID unique,NA,NA,NA
Vps37a,VPS37A,Q8CHS8,VP37A_MOUSE,Vacuolar protein sorting-associated protein 37A,28638,NA,TurboID unique,NA,NA,NA
Arap1,ARAP1,Q4LDD4,ARAP1_MOUSE,"Arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 1",25741,NA,TurboID unique,NA,NA,NA
Amotl1,AMOTL1,Q9D4H4,AMOL1_MOUSE,Angiomotin-like protein 1,25221,NA,TurboID unique,NA,NA,NA
Ctdsp2,CTDSP2,Q8BX07,CTDS2_MOUSE,Carboxy-terminal domain RNA polymerase II polypeptide A small phosphatase 2,19717,NA,TurboID unique,NA,NA,NA
Plekho2,PLEKHO2,Q8K124,PKHO2_MOUSE,Pleckstrin homology domain-containing family O member 2,17662,NA,TurboID unique,NA,NA,NA
Trak1,TRAK1,Q6PD31,TRAK1_MOUSE,Trafficking kinesin-binding protein 1,17043,NA,TurboID unique,NA,NA,NA
Irf3,IRF3,P70671,IRF3_MOUSE,Interferon regulatory factor 3,15197,NA,TurboID unique,NA,NA,NA
Eva1a,EVA1A,Q91WM6,EVA1A_MOUSE,Protein eva-1 homolog A,14118,NA,TurboID unique,NA,NA,NA
Osmr,OSMR,O70458,OSMR_MOUSE,Oncostatin-M-specific receptor subunit beta,13772,NA,TurboID unique,NA,NA,NA
Pdcd4,PDCD4,Q61823,PDCD4_MOUSE,Programmed cell death protein 4,13064,NA,TurboID unique,NA,NA,NA
Ubxn2b,UBXN2B,Q0KL01,UBX2B_MOUSE,UBX domain-containing protein 2B,12783,NA,TurboID unique,NA,NA,NA
Pag1,PAG1,Q3U1F9,PHAG1_MOUSE,Phosphoprotein associated with glycosphingolipid-enriched microdomains 1,12774,NA,TurboID unique,NA,NA,NA
