Mouse.Gene,Human.Gene,Uniprot ID,Protein Name,Protein Description,TurboID avg abundance,tdT avg abundance,Classification,logFC (TurboID vs. tdT),P.Value (TurboID vs. tdT),adj.P.Value (TurboID vs. tdT)
Slc6a6,SLC6A6,O35316,SC6A6_MOUSE,Sodium- and chloride-dependent taurine transporter,269228,NA,TurboID unique,NA,NA,NA
Cr1l,CR1L,Q64735,CR1L_MOUSE,Complement component receptor 1-like protein,109472,NA,TurboID unique,NA,NA,NA
Hsd17b7,HSD17B7,O88736,DHB7_MOUSE,3-keto-steroid reductase/17-beta-hydroxysteroid dehydrogenase 7,84656,NA,TurboID unique,NA,NA,NA
Ptprd,PTPRD,Q64487,PTPRD_MOUSE,Receptor-type tyrosine-protein phosphatase delta,82415,NA,TurboID unique,NA,NA,NA
Dag1,DAG1,Q62165,DAG1_MOUSE,Dystroglycan,81616,NA,TurboID unique,NA,NA,NA
Stim1,STIM1,P70302,STIM1_MOUSE,Stromal interaction molecule 1,78208,NA,TurboID unique,NA,NA,NA
Cept1,CEPT1,Q8BGS7,CEPT1_MOUSE,Choline/ethanolaminephosphotransferase 1,73549,NA,TurboID unique,NA,NA,NA
Lamtor1,LAMTOR1,Q9CQ22,LTOR1_MOUSE,Ragulator complex protein LAMTOR1,71153,NA,TurboID unique,NA,NA,NA
Atp1a4,ATP1A4,Q9WV27,AT1A4_MOUSE,Sodium/potassium-transporting ATPase subunit alpha-4,66044,NA,TurboID unique,NA,NA,NA
Maco1,NA,Q7TQE6,MACOI_MOUSE,Macoilin,60527,NA,TurboID unique,NA,NA,NA
Slc12a2,SLC12A2,P55012,S12A2_MOUSE,Solute carrier family 12 member 2,59741,NA,TurboID unique,NA,NA,NA
Timm44,TIMM44,O35857,TIM44_MOUSE,Mitochondrial import inner membrane translocase subunit TIM44,58322,NA,TurboID unique,NA,NA,NA
Stxbp5l,STXBP5L,Q5DQR4,STB5L_MOUSE,Syntaxin-binding protein 5-like,57911,NA,TurboID unique,NA,NA,NA
Hsdl1,HSDL1,Q8BTX9,HSDL1_MOUSE,Inactive hydroxysteroid dehydrogenase-like protein 1,57909,NA,TurboID unique,NA,NA,NA
Exoc7,EXOC7,O35250,EXOC7_MOUSE,Exocyst complex component 7,56172,NA,TurboID unique,NA,NA,NA
Spcs1,SPCS1,Q9D958,SPCS1_MOUSE,Signal peptidase complex subunit 1,55956,NA,TurboID unique,NA,NA,NA
Slco1c1,SLCO1C1,Q9ERB5,SO1C1_MOUSE,Solute carrier organic anion transporter family member 1C1,55024,NA,TurboID unique,NA,NA,NA
Wfs1,WFS1,P56695,WFS1_MOUSE,Wolframin,53883,NA,TurboID unique,NA,NA,NA
Sypl1,NA,O09117,SYPL1_MOUSE,Synaptophysin-like protein 1,53859,NA,TurboID unique,NA,NA,NA
Asb6,ASB6,Q91ZU1,ASB6_MOUSE,Ankyrin repeat and SOCS box protein 6,52842,NA,TurboID unique,NA,NA,NA
Ndufa11,NDUFA11,Q9D8B4,NDUAB_MOUSE,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 11,52607,NA,TurboID unique,NA,NA,NA
Mlec,MLEC,Q6ZQI3,MLEC_MOUSE,Malectin,52432,NA,TurboID unique,NA,NA,NA
Ndufa1,NDUFA1,O35683,NDUA1_MOUSE,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 1,52429,NA,TurboID unique,NA,NA,NA
Rag1,RAG1,P15919,RAG1_MOUSE,V(D)J recombination-activating protein 1,51550,NA,TurboID unique,NA,NA,NA
Ghitm,GHITM,Q91VC9,GHITM_MOUSE,Growth hormone-inducible transmembrane protein,51090,NA,TurboID unique,NA,NA,NA
Clmn,CLMN,Q8C5W0,CLMN_MOUSE,Calmin,51019,NA,TurboID unique,NA,NA,NA
